Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 09, 2018",6442.6,6456.46,6373.37,6385.62,4346820000,1.10906E+11
"Nov 08, 2018",6522.27,6536.92,6438.53,6453.72,4665260000,1.12078E+11
"Nov 07, 2018",6468.5,6552.16,6468.31,6530.14,4941260000,1.13396E+11
"Nov 06, 2018",6433.38,6463.55,6408.16,6461.01,4700040000,1.12096E+11
"Nov 05, 2018",6363.62,6480.59,6363.62,6419.66,4174800000,1.11456E+11
"Nov 04, 2018",6365.47,6388.63,6294.57,6376.13,4390020000,1.10689E+11
"Nov 03, 2018",6387.24,6400.07,6342.37,6361.26,3658640000,1.10421E+11
"Nov 02, 2018",6378.92,6396.86,6327.38,6388.44,4234870000,1.1088E+11
"Nov 01, 2018",6318.14,6547.14,6311.83,6377.78,3789400000,1.10684E+11
"Oct 31, 2018",6336.99,6349.16,6316.88,6317.61,4191240000,1.09627E+11
"Oct 30, 2018",6337.04,6364.99,6310.14,6334.27,3781100000,1.09904E+11
"Oct 29, 2018",6492.35,6503.6,6306.99,6332.63,4199910000,1.09863E+11
"Oct 28, 2018",6482.66,6502.28,6447.91,6486.39,3445190000,1.12518E+11
"Oct 27, 2018",6480.84,6507.41,6453.53,6480.38,3393250000,1.12403E+11
"Oct 26, 2018",6468.44,6498.29,6449.61,6474.75,3306050000,1.12294E+11
"Oct 25, 2018",6484.65,6504.65,6447.03,6476.29,3230550000,1.1231E+11
"Oct 24, 2018",6478.89,6521.99,6468.86,6495.84,3424670000,1.12637E+11
"Oct 23, 2018",6472.36,6506.01,6451.27,6475.74,3716150000,1.1228E+11
"Oct 22, 2018",6486.05,6543.8,6462.98,6487.16,3672860000,1.12465E+11
"Oct 21, 2018",6490.09,6556.38,6476,6482.35,3253610000,1.12369E+11
"Oct 20, 2018",6460.92,6497.72,6449,6489.19,3379130000,1.12477E+11
"Oct 19, 2018",6478.07,6493.68,6445.31,6465.41,3578870000,1.12053E+11
"Oct 18, 2018",6542.33,6567.54,6450.04,6476.71,3924080000,1.12237E+11
"Oct 17, 2018",6590.52,6601.21,6517.45,6544.43,4088420000,1.13399E+11
"Oct 16, 2018",6601.41,6673.59,6571.37,6596.11,4074800000,1.14284E+11
"Oct 15, 2018",6292.64,6965.06,6258.68,6596.54,7370770000,1.1428E+11
"Oct 14, 2018",6288.49,6363.21,6280.15,6290.93,3085320000,1.08973E+11
"Oct 13, 2018",6278.08,6308.51,6259.81,6285.99,3064030000,1.08878E+11
"Oct 12, 2018",6239.25,6328.5,6236.47,6274.58,3783500000,1.0867E+11
"Oct 11, 2018",6586.74,6586.74,6243.74,6256.24,5181640000,1.08342E+11
"Oct 10, 2018",6640.29,6640.29,6538.96,6585.53,3787650000,1.14031E+11
"Oct 09, 2018",6653.08,6661.41,6606.94,6642.64,3580810000,1.15008E+11
"Oct 08, 2018",6600.19,6675.06,6576.04,6652.23,3979460000,1.15163E+11
"Oct 07, 2018",6590.68,6641.49,6557.04,6602.95,3306630000,1.14299E+11
"Oct 06, 2018",6622.45,6628.54,6577.8,6588.31,3259740000,1.14034E+11
"Oct 05, 2018",6574.15,6623.62,6557.41,6622.48,3671500000,1.14615E+11
"Oct 04, 2018",6497.91,6603.31,6497.91,6576.69,3838410000,1.13811E+11
"Oct 03, 2018",6553.86,6571.46,6454.03,6502.59,3887310000,1.12517E+11
"Oct 02, 2018",6593.24,6611.84,6537.9,6556.1,3979260000,1.13431E+11
"Oct 01, 2018",6619.85,6653.3,6549.08,6589.62,4000970000,1.14E+11
"Sep 30, 2018",6604.71,6643.78,6566.54,6625.56,4002280000,1.14609E+11
"Sep 29, 2018",6643.1,6643.1,6511.65,6601.96,4363690000,1.14187E+11
"Sep 28, 2018",6678.75,6785.03,6598.32,6644.13,5014430000,1.14904E+11
"Sep 27, 2018",6495.29,6712.1,6464.95,6676.75,4606810000,1.15455E+11
"Sep 26, 2018",6452.79,6585.91,6397.89,6495,4437300000,1.123E+11
"Sep 25, 2018",6603.64,6603.64,6381.86,6446.47,4726180000,1.1145E+11
"Sep 24, 2018",6704.77,6713.56,6580.9,6595.41,4177310000,1.14011E+11
"Sep 23, 2018",6715.32,6766.15,6679.42,6710.63,4197500000,1.1599E+11
"Sep 22, 2018",6735.05,6814.56,6616.8,6721.98,4509660000,1.16174E+11
"Sep 21, 2018",6513.87,6794.33,6496.36,6734.95,6531940000,1.16385E+11
"Sep 20, 2018",6398.85,6529.26,6395.95,6519.67,4348110000,1.12653E+11
"Sep 19, 2018",6371.85,6448.46,6208.34,6398.54,4431340000,1.10548E+11
